,Theta
156,0.9768503850867674
157,0.9974010179282295
158,1.1429828465629133
159,-0.3853687383318368
160,-0.4650657403859429
161,0.306232281904753
162,0.9800600104698524
163,-0.1915344540594636
164,-0.1126291262774786
165,-1.2733211171458587
166,1.027041468231682
167,1.2135345339576789
168,0.988873926587611
169,0.7500591543509437
170,1.0018215779848796
171,0.9542157144257504
172,0.11230209246744242
173,0.5857598414115169
174,-0.9347125779588582
175,0.6801483756245096
176,-1.4109773750815624
177,0.2388404829330157
178,-0.8990438776433411
179,-0.9757999467196086
180,0.6581606859409025
181,1.4542897877351242
182,1.0101913588694753
183,-0.7098755604772733
184,-0.7708033371995529
185,0.6931083391167036
186,-1.8269783027391968
187,0.6378706146881463
188,-0.10395155995203764
189,0.20495646910043624
190,-0.2823772628842751
191,0.6945114862071046
192,0.9724230008481232
193,1.133395406384043
194,1.0015157951900229
195,1.1345421884978573
196,0.06617581269483602
197,0.0907510364110172
198,0.8609052936927029
199,1.0598739191852993
200,0.17518967938212332
201,0.8908749376023588
202,0.8595812567304121
203,0.958052478074352
204,1.0376474796310613
205,0.6272736703033319
206,0.9843145872242935
207,1.18947181880947
208,0.9689265870566174
209,0.8971535201257865
210,1.066230879946608
211,1.0713811293245077
212,1.0194670498513818
213,0.9740171900210176
214,0.9221583100963024
215,0.9886444881057554
216,0.21319225858664828
217,0.21400848194630234
218,-0.9945840929688236
219,0.7594178338256544
220,1.0260440932303647
221,-0.7073684487620701
222,1.028183304566953
223,1.0572350317325463
224,1.1245033001516578
225,1.0104039185395195
226,0.960989263579201
227,0.969506753272256
228,1.0096760228195674
229,1.1585004966379489
230,1.0026326458137538
231,0.2955214492213072
232,1.0435492279596297
233,0.9211181615744612
234,0.9994697500911496
235,0.9553967259795016
236,0.8056580051009369
237,0.8183271899197361
238,0.9196681251540041
239,0.8563773717161739
240,-0.12572038077501574
241,1.232957792818199
242,0.5384847344292495
243,0.9506404758009432
244,1.010776055361496
245,0.5060600916104281
246,-2.6328799340940914
247,0.6122338985378059
248,0.9223239223768206
249,0.7891665209602065
250,0.3774616326450068
251,-1.1472706991264894
252,1.1610256913238868
253,0.5173342257819254
254,0.9874469791775656
255,1.0023588282647549
256,0.6917605596176273
257,0.9652502708142204
258,0.03130273848524868
259,1.1133488639835627
260,0.6769106911746737
261,0.6119719525117921
262,1.0224502830159266
263,0.22377182999230386
264,0.6797577686508965
265,0.9651460496134616
266,0.8280327688192911
267,0.9846743779037241
268,1.0292498576722529
269,0.9205356994749606
270,1.0150114903149037
271,1.007186501348379
272,1.0730970915953653
273,0.937760297344888
274,0.9440679066122036
275,0.7275700989365079
276,0.9391531356984832
277,0.05415035202690082
278,0.8991089109303544
279,0.970950613084148
280,0.9833406315069324
281,0.9663865789761721
282,0.9447249944710984
283,1.0065881765406155
284,0.5291434210070215
285,0.9439066176189962
286,-0.3961801789620533
287,1.573839493357225
288,0.9681214636013972
289,1.0260840485868674
290,0.9799909089335922
291,1.0213013504972996
292,0.9619737233453358
293,0.5020810979365393
294,1.0381295758757634
295,1.2362098437013918
296,0.993712926553127
297,0.8103164516323502
298,1.6179009605191754
299,1.0096086115933645
300,1.0577339550881877
301,0.9587599944797948
302,0.5298156942328295
